processId,pid,state,priority,active,arrival,creationDelay,start,finish,totalCpu,remaining,currentInstance,contextSwitch,lastContextSwitch,totalContextSwitchTime,executed,timesExecuted,waiting,turnaround,ioDevice,ioRemaining,timesInIo,memoryRequested,totalMemoryAllocated,pageCount,pageFaults,swapIns,swapOuts,cpuWasteRatio,agingCounter,returnsToReady,cpuWasteCycles
DR-122,122,FINISHED,0,1,507,43,9245,15157061,82316,0,0,30,2028,40250,82316,2028,10370489,15156554,-1,0,255,18,400,20,1084,1064,1075,0.000,0,0,0
DS-123,123,FINISHED,0,0,546,49,3203966,15227067,67732,0,0,18,1683,33487,67732,1683,11154796,15226521,-1,0,199,0,160,8,712,704,707,0.000,0,0,0
DT-124,124,FINISHED,0,0,730,23,8827305,10771458,8723,0,0,27,213,4071,8723,213,10213013,10770728,-1,0,27,0,160,8,118,110,113,0.000,0,0,0
DU-125,125,FINISHED,0,1,314,12,5615,3168559,13490,0,0,18,338,6865,13490,338,2252018,3168245,-1,0,44,25,400,20,226,206,226,0.000,0,0,0
DV-126,126,FINISHED,0,1,353,25,6179,11597752,49875,0,0,18,1238,24708,49875,1238,8136437,11597399,-1,0,169,0,400,20,774,754,774,0.000,0,0,0
DW-127,127,FINISHED,0,1,384,48,6992,4989011,22538,0,0,15,554,10772,22538,554,3684174,4988627,-1,0,64,25,400,20,325,305,325,0.000,0,0,0
DX-128,128,FINISHED,0,1,270,11,4757,1288276,5165,0,0,13,136,2740,5165,136,899174,1288006,-1,0,18,18,400,20,74,54,71,0.000,0,0,0
DY-129,129,FINISHED,0,1,486,22,8826,7152326,29847,0,0,13,782,15530,29847,782,5183432,7151840,-1,0,108,0,400,20,530,510,530,0.000,0,0,0
DZ-130,130,FINISHED,0,0,572,46,4344105,14337392,52214,0,0,18,1287,26020,52214,1287,11382897,14336820,-1,0,144,0,160,8,617,583,607,0.000,0,0,0
EA-131,131,FINISHED,0,0,740,30,9286164,15764555,63962,0,0,19,1615,32398,63962,1615,12627690,15763815,-1,0,201,0,160,8,477,453,468,0.000,0,0,0
EB-132,132,FINISHED,0,1,456,33,8058,15070689,82887,0,0,21,2080,41828,82887,2080,10752848,15070233,-1,0,234,30,400,20,1050,1030,1045,0.000,0,0,0
EC-133,133,FINISHED,0,1,181,16,2905,11565827,50470,0,0,21,1264,25218,50470,1264,8323548,11565646,-1,0,158,0,160,8,634,626,634,0.000,0,0,0
ED-134,134,FINISHED,0,0,508,16,525267,9198052,37559,0,0,27,936,18736,37559,936,6726598,9197544,-1,0,119,0,400,20,578,558,578,0.000,0,0,0
EE-135,135,FINISHED,0,0,567,8,2017831,7092925,22104,0,0,18,538,10675,22104,538,5576483,7092358,-1,0,73,48,400,20,363,343,358,0.000,0,0,0
EF-136,136,FINISHED,0,1,1,40,149,14240996,68592,0,0,28,1743,34761,68592,1743,10194805,14240995,-1,0,207,0,160,8,806,796,801,0.000,0,0,0
EG-137,137,FINISHED,0,1,36,37,698,1872782,8188,0,0,22,207,3998,8188,207,1373541,1872746,-1,0,27,0,160,8,122,112,116,0.000,0,0,0
EH-138,138,FINISHED,0,1,116,50,2206,12377490,56658,0,0,11,1418,28126,56658,1418,9110635,12377374,-1,0,160,0,160,8,659,651,659,0.000,0,0,0
EI-139,139,FINISHED,0,1,454,15,7721,14823804,78947,0,0,22,1919,38452,78947,1919,10420314,14823350,-1,0,212,30,400,20,971,951,966,0.000,0,0,0
EJ-140,140,FINISHED,0,0,528,50,2197214,13681434,57481,0,0,28,1435,28667,57481,1435,10797405,13680906,-1,0,163,0,160,8,623,615,623,0.000,0,0,0
EK-141,141,FINISHED,0,0,619,25,5207400,13347853,39195,0,0,25,960,18987,39195,960,10912003,13347234,-1,0,104,0,160,8,433,425,433,0.000,0,0,0
EL-142,142,FINISHED,0,1,300,38,5696,14884323,77163,0,0,28,1905,38129,77163,1905,10363719,14884023,-1,0,215,0,160,8,1035,1009,1029,0.000,0,0,0
EM-143,143,FINISHED,0,1,101,14,1643,15371794,80902,0,0,23,2026,40700,80902,2026,10061846,15371693,-1,0,266,0,160,8,987,979,985,0.000,0,0,0
EN-144,144,FINISHED,0,0,766,8,9364498,15569748,54024,0,0,27,1349,26812,54024,1349,13217533,15568982,-1,0,156,0,400,20,592,572,581,0.000,0,0,0
EO-145,145,FINISHED,0,0,539,49,3165354,8645410,24536,0,0,30,615,12403,24536,615,7222306,8644871,-1,0,70,0,400,20,344,324,344,0.000,0,0,0
EP-146,146,FINISHED,0,1,304,34,5748,10591404,47041,0,0,30,1174,23406,47041,1174,7767654,10591100,-1,0,153,0,400,20,712,692,712,0.000,0,0,0
EQ-147,147,FINISHED,0,0,735,11,8368790,15588818,54225,0,0,21,1373,27369,54225,1373,12665515,15588083,-1,0,156,0,276,16,614,588,594,0.000,0,0,0
ER-148,148,FINISHED,0,0,517,47,1452399,9280018,32649,0,0,10,825,16399,32649,825,6891329,9279501,-1,0,115,30,160,8,449,441,449,0.000,0,0,0
ES-149,149,FINISHED,0,1,355,43,6365,1797268,7391,0,0,12,190,3796,7391,190,1262691,1796913,-1,0,26,0,400,20,142,122,142,0.000,0,0,0
ET-150,150,FINISHED,0,1,231,38,4357,3197216,13476,0,0,19,337,6746,13476,337,2235064,3196985,-1,0,38,0,160,8,164,156,164,0.000,0,0,0
EU-151,151,FINISHED,0,1,473,25,8621,7735450,34837,0,0,11,872,17533,34837,872,5778792,7734977,-1,0,96,48,400,20,481,461,481,0.000,0,0,0
EV-152,152,FINISHED,0,1,220,50,4408,12257714,57113,0,0,28,1444,29238,57113,1444,9337719,12257494,-1,0,160,18,160,8,653,645,653,0.000,0,0,0
EW-153,153,FINISHED,0,1,259,8,4281,2360115,11001,0,0,14,265,5356,11001,265,1755688,2359856,-1,0,29,30,160,8,128,120,128,0.000,0,0,0
EX-154,154,FINISHED,0,1,260,46,5313,2858218,12466,0,0,17,319,6484,12466,319,2123248,2857958,-1,0,39,0,400,20,172,152,171,0.000,0,0,0
EY-155,155,FINISHED,0,1,168,40,2945,687184,3616,0,0,29,85,1686,3616,85,567127,687016,-1,0,9,0,160,8,49,41,45,0.000,0,0,0
EZ-156,156,FINISHED,0,1,178,49,3451,14191133,64557,0,0,15,1620,32243,64557,1620,9485310,14190955,-1,0,210,25,160,8,856,848,856,0.000,0,0,0
FA-157,157,FINISHED,0,1,215,3,3194,12551909,56779,0,0,24,1431,28590,56779,1431,9166657,12551694,-1,0,170,0,160,8,374,366,371,0.000,0,0,0
FB-158,158,FINISHED,0,0,798,47,10523568,14097230,21204,0,0,20,515,10200,21204,515,12811900,14096432,-1,0,60,9,160,8,237,229,237,0.000,0,0,0
FC-159,159,FINISHED,0,0,764,42,10106782,14723805,29614,0,0,12,722,14333,29614,722,13016517,14723041,-1,0,91,0,160,8,388,368,381,0.000,0,0,0
