[2026-05-29 14:04:05.498] INFO: Context switch: proceso A-33, cambios: 6
[2026-05-29 14:04:05.518] INFO: Context switch: proceso A-49, cambios: 5
[2026-05-29 14:04:05.539] INFO: Context switch: proceso B-2, cambios: 1
[2026-05-29 14:04:05.559] INFO: Context switch: proceso A-84, cambios: 2
[2026-05-29 14:04:05.580] INFO: Context switch: proceso A-48, cambios: 3
[2026-05-29 14:04:05.601] INFO: Context switch: proceso A-12, cambios: 7
[2026-05-29 14:04:05.621] INFO: Context switch: proceso A-25, cambios: 8
[2026-05-29 14:04:05.641] INFO: Context switch: proceso A-86, cambios: 2
[2026-05-29 14:04:05.664] INFO: Context switch: proceso B-3, cambios: 1
[2026-05-29 14:04:05.684] INFO: Context switch: proceso A-37, cambios: 6
[2026-05-29 14:04:05.705] INFO: Context switch: proceso A-10, cambios: 5
[2026-05-29 14:04:05.725] INFO: Context switch: proceso A-72, cambios: 3
[2026-05-29 14:04:05.746] INFO: Context switch: proceso B-4, cambios: 1
[2026-05-29 14:04:05.767] INFO: Context switch: proceso A-7, cambios: 17
[2026-05-29 14:04:05.787] INFO: Context switch: proceso A-8, cambios: 5
[2026-05-29 14:04:05.807] INFO: Context switch: proceso B-5, cambios: 1
[2026-05-29 14:04:05.828] INFO: Context switch: proceso A-70, cambios: 2
[2026-05-29 14:04:05.848] INFO: Context switch: proceso A-73, cambios: 2
[2026-05-29 14:04:05.870] INFO: Context switch: proceso B-6, cambios: 1
[2026-05-29 14:04:05.892] INFO: Context switch: proceso A-67, cambios: 3
[2026-05-29 14:04:05.912] INFO: Context switch: proceso B-7, cambios: 1
[2026-05-29 14:04:05.933] INFO: Context switch: proceso A-56, cambios: 2
[2026-05-29 14:04:05.953] INFO: Context switch: proceso A-14, cambios: 5
[2026-05-29 14:04:05.974] INFO: Context switch: proceso B-8, cambios: 1
[2026-05-29 14:04:05.994] INFO: Context switch: proceso A-4, cambios: 5
